date,,2022-09-24_FY,2021-09-25_FY,2020-09-26_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2016-09-24_FY,2015-09-26_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-09-24_FY,2010-09-25_FY,2009-09-26_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-09-24_FY,2004-09-25_FY,2003-09-27_FY,2002-09-28_FY,2001-09-29_FY,2000-09-30_FY,1999-09-25_FY,1998-09-25_FY,1997-09-26_FY,1996-09-27_FY,1995-09-29_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY,1987-09-30_FY,1986-09-30_FY,1985-09-30_FY
,totalLiabilities,302083000000.0,287912000000.0,258549000000.0,248028000000.0,258578000000.0,241272000000.0,193437000000.0,171124000000.0,120292000000.0,83451000000.0,57854000000.0,39756000000.0,27392000000.0,26019000000.0,18542000000.0,10815000000.0,7221000000.0,4085000000.0,2974000000.0,2592000000.0,2203000000.0,2101000000.0,2696000000.0,2057000000.0,2647000000.0,3033000000.0,3306000000.0,3330000000.0,2919445000.0,3145000000.0,2036300000.0,1726900000.0,1528900000.0,1258200000.0,1078700000.0,641400000.0,466000000.0,385700000.0
,commonStock,64849000000.0,57365000000.0,50779000000.0,45174000000.0,40201000000.0,35867000000.0,31251000000.0,27416000000.0,23313000000.0,19764000000.0,16422000000.0,13331000000.0,10668000000.0,8210000000.0,7177000000.0,5368000000.0,4355000000.0,3521000000.0,2514000000.0,1926000000.0,1826000000.0,1693000000.0,1502000000.0,1349000000.0,633000000.0,498000000.0,439000000.0,398000000.0,297929000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,retainedEarnings,-3068000000.0,5562000000.0,14966000000.0,45898000000.0,70400000000.0,98330000000.0,96364000000.0,92284000000.0,87152000000.0,104256000000.0,101289000000.0,62841000000.0,37169000000.0,19538000000.0,13845000000.0,9101000000.0,5607000000.0,4005000000.0,2670000000.0,2394000000.0,2325000000.0,2260000000.0,2285000000.0,1499000000.0,898000000.0,589000000.0,1634000000.0,2464000000.0,2096206000.0,1842600000.0,1904500000.0,1492000000.0,1312200000.0,1175900000.0,776500000.0,573100000.0,474300000.0,320300000.0
,accumulatedOtherComprehensiveIncomeLoss,-11109000000.0,163000000.0,-406000000.0,-584000000.0,-3454000000.0,-150000000.0,634000000.0,-345000000.0,1082000000.0,-471000000.0,499000000.0,443000000.0,-46000000.0,84000000.0,8000000.0,63000000.0,22000000.0,0.0,-15000000.0,-35000000.0,-56000000.0,-33000000.0,-387000000.0,106000000.0,-39000000.0,-74000000.0,-30000000.0,78000000.0,-785088000.0,-753100000.0,-673400000.0,-588000000.0,-446700000.0,-309100000.0,-213000000.0,-158700000.0,-114700000.0,-85200000.0
,othertotalStockholdersEquity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60000000.0,-93000000.0,-62000000.0,0.0,0.0,707000000.0,150000000.0,150000000.0,187000000.0,15000000.0,-39000000.0,774254000.0,936900000.0,956300000.0,862700000.0,581300000.0,618900000.0,439900000.0,422100000.0,334500000.0,315400000.0
,totalStockholdersEquity,50672000000.0,63090000000.0,65339000000.0,90488000000.0,107147000000.0,134047000000.0,128249000000.0,119355000000.0,111547000000.0,123549000000.0,118210000000.0,76615000000.0,47791000000.0,27832000000.0,21030000000.0,14532000000.0,9984000000.0,7466000000.0,5076000000.0,4223000000.0,4095000000.0,3920000000.0,4107000000.0,3104000000.0,1642000000.0,1200000000.0,2058000000.0,2901000000.0,2383301000.0,2026400000.0,2187400000.0,1766700000.0,1446800000.0,1485700000.0,1003400000.0,836500000.0,694100000.0,550500000.0
,totalLiabilitiesAndStockholdersEquity,352755000000.0,351002000000.0,323888000000.0,338516000000.0,365725000000.0,375319000000.0,321686000000.0,290479000000.0,231839000000.0,207000000000.0,176064000000.0,116371000000.0,75183000000.0,53851000000.0,39572000000.0,25347000000.0,17205000000.0,11551000000.0,8050000000.0,6815000000.0,6298000000.0,6021000000.0,6803000000.0,5161000000.0,4289000000.0,4233000000.0,5364000000.0,6231000000.0,5302746000.0,5171400000.0,4223700000.0,3493600000.0,2975700000.0,2743900000.0,2082100000.0,1477900000.0,1160100000.0,936200000.0
,totalInvestments,145463000000.0,155576000000.0,153814000000.0,157054000000.0,211187000000.0,248606000000.0,217101000000.0,184546000000.0,141395000000.0,132502000000.0,110505000000.0,71755000000.0,39750000000.0,28729000000.0,0.0,0.0,0.0,0.0,0.0,1175000000.0,2124000000.0,2154000000.0,0.0,2239000000.0,819000000.0,229000000.0,193000000.0,196000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,totalDebt,120069000000.0,124719000000.0,112436000000.0,108047000000.0,114483000000.0,115680000000.0,87032000000.0,64462000000.0,35295000000.0,16960000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304000000.0,316000000.0,317000000.0,300000000.0,300000000.0,954000000.0,976000000.0,1135000000.0,764000000.0,596200000.0,823200000.0,184500000.0,148600000.0,122600000.0,56800000.0,315000000.0,0.0,0.0,0.0
,netDebt,96423000000.0,89779000000.0,74420000000.0,59203000000.0,88570000000.0,95391000000.0,66548000000.0,43342000000.0,21451000000.0,2701000000.0,-10746000000.0,-9815000000.0,-11261000000.0,-5263000000.0,-11875000000.0,-9352000000.0,-6392000000.0,-3491000000.0,-2969000000.0,-3092000000.0,-1936000000.0,-1993000000.0,-891000000.0,-1026000000.0,-527000000.0,-254000000.0,-417000000.0,8000000.0,-607288000.0,146800000.0,-314100000.0,-455500000.0,-252100000.0,-381500000.0,-230700000.0,-565100000.0,-576200000.0,-337000000.0
