date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-08-14,65.095,65.5,64.255,65.3575,64.767326,46621944,11655486,0.2625,0.40326,65.09,"August 14, 18",0.0040326
2018-08-13,63.785,65.25,63.7675,64.03,63.451817,37498632,9374658,0.245,0.3841,64.54,"August 13, 18",0.003841
2018-08-10,63.2875,64.025,63.175,63.6975,63.122311,25662672,6415668,0.41,0.64784,63.54,"August 10, 18",0.0064784
2018-08-09,64.785,64.8125,64.0375,64.115,63.536045,20427848,5106962,-0.67,-1.03,64.35,"August 09, 18",-0.0103
2018-08-08,64.25,65.06,63.8975,64.605,64.021606,26209848,6552462,0.355,0.55253,64.72,"August 08, 18",0.0055253
2018-08-07,64,64.425,63.73,64.2375,63.65744,25813040,6453260,0.2375,0.37109,64.16,"August 07, 18",0.0037109
2018-08-06,62.8975,63.5425,62.4265,63.5075,62.93404,20750660,5187665,0.61,0.96983,63.1,"August 06, 18",0.0096983
2018-08-03,62.9025,63.265,62.7325,63.025,62.455887,21428808,5357202,0.1225,0.19475,62.99,"August 03, 18",0.0019475
2018-08-02,60.8975,62.695,60.3025,62.655,62.089226,26966756,6741689,1.7575,2.89,61.99,"August 02, 18",0.0289
2018-08-01,61.5325,62.09,60.9715,61.6175,61.061089,28355556,7088889,0.085,0.13814,61.53,"August 01, 18",0.0013814
2018-07-31,60.9275,61.97,60.5353,61.215,60.662228,28398784,7099696,0.2875,0.47187,61.37,"July 31, 18",0.0047187
2018-07-30,63.1475,63.2075,60.68,61.0325,60.481377,34032688,8508172,-2.115,-3.35,61.51,"July 30, 18",-0.0335
2018-07-27,64.08,64.15,62.46,63.005,62.436066,29542140,7385535,-1.075,-1.68,63.31,"July 27, 18",-0.0168
2018-07-26,62.765,64.0825,62.595,63.71,63.134712,32512512,8128128,0.945,1.51,63.53,"July 26, 18",0.0151
2018-07-25,62.2725,63.095,61.6875,62.9675,62.398903,32018204,8004551,0.695,1.12,62.56,"July 25, 18",0.0112
